Text,Paraphrase
I don't feel like watching TV tonight.,I don't want to watch television this evening.
"You've had really a rough day, haven't you?","You had a really rough day, didn't you?"
We're not open.,Our store isn't open.
Tom says that someday he'll do that.,Tom says that he'll do that someday.
I really need to get home.,I really should be getting home.
Tom would not relent.,Tom wouldn't relent.
Tom lives in a small town not too far from Boston.,Tom lives in a town not far from Boston.
I can do what I want.,I can do whatever I want.
I can do anything I want to.,I may do what I want to.
I have no horse.,I don't have a horse.
I heard that Tom is living in Boston.,I heard that Tom used to live in Boston.
Tom was still a bachelor then.,Tom was still a bachelor at that time.
Tom said he wouldn't do it.,Tom said he's not going to do that.
Tom lost thirty pounds.,Tom has lost 30 pounds.
Tom has lost almost thirty pounds.,Tom has lost almost 30 pounds.
The train has been delayed.,The train was delayed­.
I can't read her handwriting.,I can't read your handwriting.
Brazil is hosting the Olympic Games.,Brazil hosts the Olympic Games.
There's a gentleman downstairs who says that he wants to speak to you.,There's a man downstairs saying he would like to speak with you.
Usain Bolt is still the world's fastest man.,Usain Bolt is still the fastest man in the world.
I wrote my thesis about this.,I wrote my dissertation about this.
There are a lot of snakes in this forest.,There are many snakes in this forest.
The boy likes to walk in the city.,The boy likes to walk to town.
The girl likes the music.,That girl likes that music.
Maria is answering the teacher's question.,Maria answers the teacher's question.
I like your books.,I love your books.
It's been a bad week for Tom.,This has been a tough week for Tom.
I think that's a big mistake.,I think that's a huge mistake.
Some students neglect their studies in favor of sports.,Some students devote themselves to sports and neglect their studies.
Don't fail in your daily duties.,Don't neglect your daily responsibilities.
I don't wanna clean up dog shit.,I do not want to clean up dog poop.
None of my friends speak Latin.,"Among my friends, not one knows how to speak Latin."
Tom died without heirs.,Tom died without an heir.
The baby speaks Esperanto.,The baby is speaking Esperanto.
He moved back with his parents.,She moved back with her parents.
I have my own reasons.,I've got my reasons.
The patient lost his patience.,The patient lost patience.
Yesterday I was on my way home from work when I ran smack into my old girlfriend.,"Yesterday, I was on my way home when I unexpectedly met my ex-girlfriend."
Eat green fruit and ten to one you will get ill.,"If you eat unripe fruit, I'll tell you ten to one that you'll get sick."
A skilled mechanic earns decent wages.,A skilled mechanic makes decent money.
I'm setting off tonight.,I'm going to go off on a trip this evening.
It was grotesque.,It was ridiculous.
I love my siblings.,I love my brothers and sisters.
On Thursdays we go to the movies.,Every Thursday we go to the cinema.
Mother gets up earliest in my family.,"In my family, the one who gets up earliest is my mother."
Refer to the instructions to fix the refrigerator.,Refer to the instruction manual if you need to fix the refrigerator.
Even the human race will die one day.,Even the human race will come to an end one day.
I believe in guardian angels.,I believe in the guardian angels.
I never did like it anyway.,I never liked him anyway.
Tom is reading the newspaper.,Tom is reading a newspaper.
Tom and Mary wanted to have children.,Tom and Mary wanted children.
Tom packed his things up.,Tom packed up his belongings.
Tom is in the emergency room.,Tom is in the ER.
Now I'm angry.,I'm angry now.
Tom and Mary live in Boston with their father.,Tom and Mary live with their dad in Boston.
I'm never happier than when I'm by myself.,I'm never as happy as when I'm alone.
I will make him return what he has stolen.,I'll make him give back what he stole.
Whatever one loves is beautiful.,Beauty lies in whatever one loves.
I don't think about you.,I am not thinking of you.
He never listens to the teacher.,He's not paying attention to the teacher.
Scratch a Russian and find a Tartar.,Look under the skin of a civilized man and you will find a barbarian.
There are still barbarous nations.,There are still uncivilized lands.
I've been bit by a snake.,A snake bit me.
I don't like being laughed at.,I don't like people laughing at me.
Tom knew Mary was hungry.,Tom knew what Mary wanted to eat.
Tom is always so busy.,Tom is always very busy.
Why are men so stupid?,Why are guys so stupid?
I certainly hope Tom doesn't do that.,I sure hope that Tom doesn't do that.
I want to see a doctor about my stomachache.,I want to be examined by a doctor because of my stomach ache.
The trees are beginning to bud.,The trees have begun to bud.
Seeds must have air and water to grow.,"In order to sprout, seeds need air and water."
There's a chance that tap water may contain harmful substances like chlorine and lead.,"It's possible that the drinking water has chlorine, lead, or similar contaminants in it."
The theory of evolution is beyond the reach of my imagination.,The theory of evolution surpasses the scope of my imagination.
Tom went back to his office.,Tom went back into his office.
You're going to need help.,They'll need help.
The police are interviewing witnesses.,The police are questioning witnesses.
Tom couldn't find his keys.,Tom couldn't find the keys.
This is rather frightening.,That's fairly alarming.
It doesn't get better than this.,It doesn't get much better than that.
The cheesecake tasted too sweet.,This cheesecake was too sweet.
Concert tickets are on sale at this office.,The tickets for the concert are on sale here.
I don't know the reason why he was absent.,I don't know the reason for her absence.
Tom should have been here by now.,Tom is supposed to be here by now.
He is such a lazy fellow.,She's a terrible do-nothing.
That's ironic.,It's ironic.
Are you the writer of that report?,Are you the one who wrote that report?
Someone doesn't forget their first love.,You don't forget your first love.
Tom is teaching French to Mary.,Tom teaches French to Mary.
I don't like high heat.,I don't like it when it's very hot.
What's your debt?,How much do you owe?
It's behind schedule.,I'm running behind schedule.
I missed my mother.,I miss my mother.
Tom is short for his age.,Tom is small for his age.
The typhoon did much damage to the crops.,The typhoon did a lot of damage to the crops.
Tom is probably scared.,Tom is probably frightened.
Tom is certainly scared.,Tom is certainly afraid.
This couch is not comfortable.,This sofa is not nice.
She walked with someone.,She walked with somebody.
I'll never leave.,I will never go away.
I'm not sure if that will help.,I'm not sure if that'll help.
She promised me.,He promised me.
You're going to laugh.,You will laugh.
"Her work finished, she went home.","Having finished her work, she went home."
She was kind enough to give me good advice.,She was so kind as to give me advice.
Children watch adults.,Little people watch big people.
I got rid of my old fridge.,I am fed up with my old fridge.
Tom is very pessimistic.,Tom is extremely pessimistic.
"If you hurt her, I'll kill you.","If you harm her in any way, I'll kill you."
"When you swallow a dangerous substance, what you need to do depends on what you swallowed.","If you swallow a dangerous substance, it depends on the substance which measures need to be taken."
The airplane was swallowed up in the large clouds.,Thick clouds swallowed the airplane.
He crossed the ground.,He crossed the sports ground.
He caught hold of a rope and saved himself.,He grabbed the rope and was saved.
You must help your friends.,You have to help your friends.
It's refreshing.,That's refreshing.
Would you like some water?,Do you want some water?
We've done enough waiting.,We've been waiting long enough.
Tom is a brave warrior.,Tom is a valiant warrior.
How many times must I say no?,How many times do I have to say no?
Food is running low.,Food is running out.
Mary has beautiful eyes.,Mary's eyes are pretty.
"So, what're you waiting for?","Well, what are you waiting for?"
What are you going to say to Tom?,What will you tell Tom?
We'll be home soon.,We'll soon be home.
Tom tried to calm down.,Tom tried to compose himself.
That will be possible.,That'll be possible.
I'll take it if you don't mind.,"I'll take it, if you don't object."
He was attacked there by the rebels.,The rebels attacked him there.
I don't plan on telling you anything.,I don't intend to tell you anything.
Tom gets mad very easily.,Tom gets angry very easily.
Tom came clean.,Tom confessed everything.
There's only one way out of here.,There is only one solution.
She cut her finger on the broken glass.,She cut her finger on a shard of glass.
My old-fashioned grandfather complains about the way girls are dressed nowadays.,"My grandfather, who has an old-fashioned attitude, complains about how girls dress nowadays."
The same thing must've happened to Tom.,The same thing must have happened to Tom.
It's a coincidence.,That's a coincidence.
I'd decided not to do that again.,I decided not do that anymore.
It's not an exaggeration to say that Mrs. Smith is addicted to TV.,We can say that Mrs. Smith is a television addict.
Grandfather is napping on the sofa.,Grandad is kipping on the couch.
I've done nothing exceptional.,I didn't do anything special.
That could take several months.,That could take a few months.
Tom is having difficulty breathing.,Tom has a hard time breathing.
I'm going to the station.,I'm on my way to the station.
These diamonds come from South Africa.,These diamonds are from South Africa.
"Did you know that, in French, one doesn't hear the difference between ""the symmetry"" and ""the asymmetry""?","Do you know that the French do not hear the difference between ""symmetry"" and ""asymmetry""?"
Tom should've done something.,Tom should have done something.
We're quite confident.,We're pretty confident.
I'm no longer afraid of spiders.,I'm not afraid of spiders anymore.
Tom had a lot of good ideas.,Tom had many good ideas.
Rice is grown in many parts of the world.,Rice is cultivated in several parts of the world.
He must have studied English hard.,"He, most likely, seriously studied English."
You're not working hard enough.,You're not studying hard enough.
She didn't think her dream would ever come true.,She never thought her dreams would come true.
That ball could've hit me.,That ball could have hit me.
He clung to the hope that he would see her again someday.,He clung to the hope of seeing her again one day.
Mary said that she wasn't Tom's daughter.,Mary denied being Tom's daughter.
We should call him.,We should call her.
Where's Tom working?,Where does Tom work?
His statement admits of no doubt.,His statement doesn't leave room for any doubt.
Tom loves trains.,Tom likes trains.
I think I can arrange that.,I think I can fix this.
You should've practiced harder.,You should have practiced harder.
Tom doesn't like to work by himself.,Tom doesn't like working alone.
No one loves you as much as I do.,No one loves you like I do.
Even Tom was surprised.,Even Tom was baffled.
I know you're talented.,I know that you're talented.
Tom went home by taxi.,Tom took a taxi back home.
People don't want the truth.,People have no use for the truth.
Tom saved all of us.,Tom saved us all.
Tom is as busy as I am.,Tom isn't as busy as me.
The suspect confessed.,The suspect has confessed.
There are very few passengers in the train.,There are only just a few passengers on that train.
Tom will walk to school tomorrow.,Tom is going to walk to school tomorrow.
I hope you learn.,I hope that you learn.
Tom fell asleep watching TV.,Tom fell asleep while watching TV.
I have downloaded the game application.,I have downloaded a videogame.
I'm gonna leave her a tip.,I'm gonna leave him a tip.
Tom likes singing in the shower.,Tom likes to sing in the shower.
I should've become a teacher.,I should have become a teacher.
There's something he's not telling us.,There's something she's not telling us.
Tom is hiding something from us.,There's something Tom is not telling us.
What's the weather like outside?,How is the weather outside?
Tom should've won the race.,Tom should have won the race.
The work is not finished yet.,The job's not done yet.
The job isn't done yet.,The work isn't finished yet.
We chose Tom as captain.,We chose Tom to be captain.
Tom died Monday morning.,Tom died on Monday morning.
I visited Tom yesterday.,I was at Tom's place yesterday.
Tom knows how to play the guitar.,Tom can play the guitar.
Tom is an accomplished writer.,Tom is a successful writer.
You don't need to thank us.,You don't have to thank us.
Whom the Lord loveth he chasteneth.,The Lord chastens those he loves.
That would be silly.,That would be stupid.
That would be unwise.,That would be foolish.
That would not be wise.,That wouldn't be wise.
That would be dumb.,It wouldn't be wise to do that.
Tom wants to become a teacher.,Tom aspires to be a teacher.
They aren't doctors.,They're not doctors.
I won't read it.,I'm not going to read it.
Does Tom need a ride home?,Does Tom want to go home?
Tom sometimes drops in on me.,Tom sometimes visits me.
This holiday isn't much fun - we should have gone home.,This holiday isn't much fun - we might as well head back home.
"With hunger and fatigue, the dog died at last.","Because of hunger and fatigue, the dog finally died."
I doubt her words.,I doubt his words.
We're discreet.,We're reserved.
My mother tongue is Hungarian.,Hungarian is my mother tongue.
Hungarian is my native language.,My native language is Hungarian.
I let Tom kiss me.,I allowed Tom to kiss me.
I'll never agree to that.,I will never agree to it.
Everyone must die one day.,Everybody has to die one day.
Tom didn't kill himself.,Tom didn't commit suicide.
Tom was creative.,Tom was imaginative.
I enjoyed watching the movie.,I liked the movie a lot.
"I had to start from the beginning, and I didn't like that at all.","I was forced to start everything from the beginning, and that wasn't pleasant."
You're way faster than me.,You're way faster than I am.
Tom wished Mary could've gone with him.,Tom wished Mary could have gone with him.
I woke up in the middle of the night.,I woke up at midnight.
How can I fix my leaky faucet?,How can I repair my leaking tap?
I have a leaky faucet.,I have a dripping tap.
We have several options.,We've got several options.
The honeymoon is over.,The honeymoon was over.
He has an eye for art.,He has a good eye for art.
Your room must always be kept clean.,You should always keep the room clean.
The whole class is present today.,Everyone in the class is here today.
We've been here a while.,We've been here for a while.
I'd be content if you paid me with cash.,I'd appreciate it if you could pay in cash.
Tom said he was ready to go.,Tom said he's ready to go.
Tom should've gotten a warning.,Tom should have gotten a warning.
You're way smarter than me.,You're way smarter than I am.
It wasn't difficult to understand.,It wasn't hard to understand.
We have an obligation to do our best.,We must do the best we can.
The night was long.,It was a long night.
A woman's tears will dry quickly.,Women's tears dry quickly.
A woman's crying is worthless.,A woman's tears are worthless.
I won't go skating today.,I'm not going skating today.
You will find the restaurant on your right.,The restaurant will be on your right.
"If anyone is capable of doing it, Bill can.",If anyone can do it Bill can.
It's not because things are difficult that we dare not venture. It's because we dare not venture that they are difficult.,"It is not because things are difficult that we do not dare, it is because we do not dare that they are difficult."
It's rather ironic.,It's quite ironic.
Tom doesn't understand a thing.,Tom doesn't understand anything.
Kiev is the mother of Russian cities.,Kiyiv is the mother of Ruthenian cities.
How much money does Tom make?,How much does Tom make?
We don't like it.,We don't like them.
We don't like him.,We don't like her.
When will it stop raining?,When will the rain stop?
There's plenty left.,I've got plenty more.
I have a lot more.,There's plenty of stuff left.
Tom is coming back.,Tom will be back.
Tom will come back.,Tom isn't returning.
Tom is going to come back.,Tom is going to be back.
We must take that risk.,We have to take that risk.
You handled that well.,You've done a good job of that.
Tom doesn't know you're here.,Tom doesn't know that you're here.
He was confused by a sudden question.,He was confused by the abrupt question.
Tom often plays the guitar.,Tom plays guitar a lot.
Tom now lives in Australia.,Tom lives in Australia now.
Tom plans to go by himself.,Tom plans on going by himself.
Tom poured me a cup of tea.,Tom poured a cup of tea for me.
It was a bet.,It was a gamble.
I bet it was Tom.,I'm sure that was Tom.
It hasn't been easy for me.,It wasn't easy for me.
I signed the check.,I signed the cheque.
Check your tire pressure.,Check your tyre pressure.
Did you steal it?,Did you steal them?
Let's get in the car.,We get into the car.
His skin has the tone of a young man's.,His skin is as firm as a teenager's.
This child became a woman.,This girl has become a woman.
She is a lady of business acumen.,She has a keen business sense.
The hawk has piercing eyes.,The falcon has keen eyes.
I've got a keen-edged knife.,I received a knife with a sharp blade.
My knife has such a fine edge.,The blade of my knife is very sharp.
The dog has a keen scent.,This dog has a keen sense of smell.
All of the sugar has fallen to the ground.,All the sugar fell on the ground.
He is slow in action.,He moves awkwardly.
We should've celebrated together.,We should have celebrated together.
Tom turned quickly.,Tom turned around quickly.
Tom was fast.,Tom was quick.
How does this bear on my future?,What does this have to do with my future?
Tom came to Boston to look for a job.,I came to Boston looking for work.
I think it possible for man to live on the moon.,I think men can live on the moon.
Walk every day.,Take a walk every day.
That could be difficult.,It may be hard.
It doesn't work so well because the battery is low.,It's not working well because the batteries are weak.
I was disappointed at there being so little to do.,I was disappointed at how little work there was there.
Tom should've worked harder.,Tom should have worked harder.
She sounded desperate.,It looked hopeless.
Minute particles are hardly visible to the naked eye.,Minute particles are hard to see with the naked eye.
There is no cure for the common cold.,There is no prescription for a common cold.
"Don't confuse ""efficacy"" with ""efficiency"".",Don't mix up effectiveness and efficiency.
The museum is open from 9 a.m.,The museum is open from nine o'clock in the morning.
Ken folded the blanket in half.,Ken folded the sheet in half.
The Anglo-Saxons displaced the Celts.,The Anglo-Saxons overran the Celts.
"When you have few goals, you get older.",You get older when you don't have many aims.
Tom grabbed my arm.,Tom grabbed my hand.
It's a miracle that Tom is still alive.,It's a miracle that Tom's still alive.
"Besides being beautiful, she is kind and intellectual.","She is not only beautiful, but also gentle and, furthermore, intelligent."
They're only $50 with two cans of shoe polish free of charge.,"They cost just 50 dollars, and I'll give you two cans of shoe polish free as well."
It may be advantageous to me to proceed in this way.,It could be advantageous for me to continue this way.
"I often call, but seldom write a letter.",I phone often but seldom write letters.
I swim a lot.,I do a lot of swimming.
Tom can count on Mary.,Tom can trust Mary.
My grandfather lived till he was eighty-nine.,My grandfather turned 89 years old.
It was not until I visited Australia that I realized how small Japan was.,Not until I visited Australia did it become clear to me how small Japan is.
They live in a council house.,They live in the projects.
Please don't drink from the bottle.,Do not drink from the bottle please.
How does Tom get to school?,How does Tom go to school?
Tom is a visionary.,Tom is a dreamer.
Tom's dream eventually came true.,Tom's dream has finally come true.
We now know that's not true.,We now know that that isn't true.
Is it an emergency?,Is it urgent?
You have to do this now.,You've got to do that now.
I'm glad that you understand.,I'm glad you understand.
Why don't we drive out to the country for a change of pace?,Shall we go to the countryside for a change?
Tom looked pensive.,Tom looked thoughtful.
They consider him a highly qualified employee.,He is considered to be a highly qualified employee.
He broke both his legs.,He broke both of his legs.
You should've told me earlier.,You should have told me earlier.
The treaty bans atomic bombs and hydrogen bombs.,The treaty bans the use of atomic and hydrogen bombs.
What did you just say to him?,What did you just tell him?
Blessed are the peacemakers: for they will be called children of God.,"Blessed are the peacemakers, for they shall be called God's children."
I'd appreciate it if you could come.,It would be nice if you could come.
He is always spoiling for a fight.,He is always itching to pick a fight.
Tom finished his coffee and left for work.,Tom finished his coffee and went off to work.
I leave the house at 8.15 and arrive at school at 8.45.,"I leave the house at eight fifteen, and arrive at school at eight forty‐five."
The hare is bleeding from its ear.,The rabbit's ear is bleeding.
Tom didn't think it was funny.,Tom didn't find it funny.
Let's go in the other room.,Let's go into the other room.
I'm sure she'll like it.,I'm sure he'll like it.
We've seen it before.,We've seen this before.
We've got to talk to you.,We should be talking to him.
We need to talk to him.,We should talk to him.
Begin with such books as you can easily understand.,Begin with books that are easy to understand.
Start with books that you can easily understand.,Begin with an easy-to-understand book.
The crowd went wild.,The crowd went berserk.
You should've left it alone.,You should've left him alone.
You should've left her alone.,You should have left it alone.
The referee blew his whistle to end the match.,We watched an interesting movie.
I'd like to be like Tom.,I want to look like Tom.
He told her to study.,He told him to study.
Just follow him.,Just follow her.
Tom is a golfer.,Tom is playing golf.
"Sitting on the rock, she sang a sweet song as she combed her hair.","While she sat on the cliff and combed her hair, she sang a wonderfully beautiful song."
I want to live in comfort.,I want to live comfortably.
She laughed a merry laugh.,She laughed happily.
He dwelt on an unpleasant subject for two hours.,He spoke about the unpleasant story for two hours.
I really want to go.,I'd really like to go.
Some people never learn.,Some people just never learn.
"Tom is tired, and so am I.","Tom is tired and I'm tired, too."
"You were watching, weren't you?","You were looking, weren't you?"
Tom visited Australia.,Tom traveled around Australia.
Tell Tom that I'm not hungry.,Tell Tom I'm not hungry.
There's no use arguing with Tom.,There's no point arguing with Tom.
The important thing is not to win but to take part.,"Winning is not important, rather, team-work is important."
"He is a Japanese Edison, as it were.","He is, so to speak, the Japanese Edison."
I will try to solve the problem at any rate.,I'll try to solve the problem by all means.
We need to get this truck unloaded before it starts raining.,We've got to unload this lorry before it starts to rain.
"Having heard it so many times, I can recite the poem by heart now.","Because I heard it so often, I can now recite the poem by heart."
"If by some chance Jason calls me, tell him I'm not here.","If Jason should call me, tell him I'm not at home."
It will be three months before our house is completed.,My house was ready two months ago.
I'm going to really miss Tom.,I'm going to miss Tom a lot.
The party is just getting started.,The party's just getting started.
I should've run away.,I should have run away.
I think that's enough.,I think this is enough.
Mary wouldn't let Tom kiss her.,Mary wouldn't allow Tom to kiss her.
They didn't even know our names.,They didn't even know what our names were.
Man is a slave of habit.,Man is enslaved to customs.
I'm willing to give it a try.,I'm willing to try that.
We came to the conclusion that we should help him.,We reached the poor soul we had to help.
He didn't come back in the end.,He never came back.
I hardly ever see Tom anymore.,Tom and I hardly ever see each other anymore.
She's not the brightest girl in the world.,He's not the brightest guy in the world.
Tom has an insatiable appetite.,Tom has a voracious appetite.
Are you happy with your life?,Are you satisfied with your life?
Tom continued to stare out the window.,Tom kept staring out the window.
Tom did it with the best of intentions.,Tom did it in good faith.
His dog was running in the yard.,His dog ran around in the yard.
Esperanto will triumph.,Esperanto will succeed.
They came in.,They went in.
Don't use a language other than Esperanto!,Don't use another language!
Tom liked the film a lot.,Tom liked the movie a lot.
Tom said that I should leave.,Tom said that I had to go.
Tom said I should go.,Tom said I had to leave.
My old car brought me $100.,I sold my old car for one hundred dollars.
Look at that high mountain.,Look at this high mountain!
It's beginning to take form!,It's beginning to get absorbed!
Tom is beginning to irritate me.,Tom is starting to make me nervous.
I'm beginning to believe it.,I'm starting to believe that.
I'm beginning to get scared.,I'm getting scared.
I think I'm beginning to understand.,I think I'm starting to understand.
Can you recommend a good play?,Can you recommend a good game to me?
I did this too!,I've also done that.
I guess I should've known.,I guess I should have known.
This lawn mower runs on gasoline.,This lawn mower is gas powered.
I saw five airplanes flying away like so many birds.,I saw five airplanes flying like birds.
A river flows.,The water is flowing.
Let him know.,Let her know.
I'll let them know.,I'll inform them.
I'll let her know.,I'll inform her.
Let me know your exam results.,Let me know what you got on your exam.
I need to let him know.,I need to let her know.
Tom is a good liar.,Tom can lie well.
I need a ladder.,I need the ladder.
We need a ladder.,We need the ladder.
What is your earliest memory from childhood?,What is your first memory from when you were a kid?
Is it hard?,Is it complicated?
Tom is getting impatient.,Tom is growing impatient.
They nicked my wallet on the bridge.,My wallet was stolen on the bridge.
You had better help your father.,You should help your father.
You're too busy.,You're very busy.
They're very busy.,You are very busy.
It may already be too late.,It may be too late already.
It is unexpected what breaks out.,We cannot predict what will happen.
Tom is much shorter than Mary.,Tom is a lot shorter than Mary.
I work every morning in Central Park at 6 a.m.,I work from 6am every morning in Central Park.
You're an absolute idiot.,You're a complete idiot.
Tom has a younger sister.,Tom has a little sister.
What should Tom do?,What does Tom have to do?
Tom lost control of his car.,Tom lost control of the car.
Tom is more experienced than I am.,Tom is more expert than me.
There are just two of us.,It's just the two of us.
I parted from her last night.,I broke up with her yesterday evening.
I'm planning to come.,I intend to come.
Are you planning to help him?,Do you intend to help her?
Tom handed Mary his cell phone.,Tom handed his cellphone to Mary.
Tom has serious health problems.,Tom has a serious health problem.
I haven't seen him in ages.,I haven't seen her in ages.
Tom hasn't eaten anything all day.,Tom hasn't eaten a thing all day.
I don't see why we need to do this.,I don't understand why we should do that.
Tom is coming back to Boston.,Tom is on his way back to Boston.
We are giving Tom a birthday party.,We plan to have a birthday party for Tom.
I knew Tom would do that.,I knew Tom was going to do that.
I didn't know what was going on.,I didn't know what happened.
My father died when the cherry blossoms were at their best.,My father died when the cherry trees were in full bloom.
Tom depends too much on Mary.,Tom depends on Mary too much.
I was allowed to go there on condition that I came back by five o'clock.,I can go there as long as I'm back before five.
"It's great that my nephew and niece came over to play, but they're so annoying making such a racket running all over the house all day that I can't stand it.","It's actually great that my cousins came to visit me, but the noise from dawn until dusk is unbearable."
For the past few days Jane has been quiet and out of humor.,Jane has been quiet and grouchy for the past few days.
I had been in Tokyo only three days when I received news of my father's death.,I had been in Tokyo for three weeks when I received news of the death of my father.
"It's OK with me if we barbecue, but I don't like it when smoke gets in my eyes.","Barbecues are fun and pleasant, but I can't stand it when the smoke goes into my eyes."
I no longer study French.,I'm no longer studying French.
Tom was partly right.,Tom was partially correct.
Tom is not a member.,Tom isn't a member.
The spare tire is in the trunk.,The spare tyre is in the boot.
Tom ate nothing.,Tom didn't eat anything.
I have a poor imagination.,I lack imagination.
We've had a poor crop due to lack of water.,We had a poor harvest because of the lack of water.
Ken laid down his arms.,Ken gave up.
"She's rich, young and beautiful.","She is rich, young, and beautiful."
The baby cried.,The baby was crying.
Did you buy a new phone?,Have you bought yourself a new cellphone?
Don't forget to lock the door when you leave.,Don't forget to close the door after yourself when you leave.
Do you want to watch a movie?,Do you feel like watching a movie?
We traveled around the world last year.,Last year we went on a trip around the world.
He declined the job-offer very politely.,He politely declined the client's request.
Tom and Mary discussed their future plans.,Tom and Mary discussed their plans for the future.
My mind was racing.,My heart was racing.
What did you talk to him about?,What did you speak about with her?
Tom just turned thirty years old.,Tom has just turned thirty.
I'm not sorry I'm late.,I don't regret arriving late.
I love this word.,I really like this word.
I can't emphasize it enough.,I can't emphasize that enough.
Tom did it anyways.,Tom did it anyway.
I'm sure they're not after us.,They'll no doubt be searching for us.
I saw him take it.,I saw her take it.
Nothing will stop his going.,Nothing will stop him.
Tom wasn't convinced.,Tom wasn't sure.
Tom and Mary both work.,Both Tom and Mary work.
Many people drink water out of the kitchen faucet.,Many people drink water from the kitchen tap.
Where is Tony playing?,Where's Tom playing?
Tom didn't smile.,Tom wasn't smiling.
Kindly refrain from smoking.,Please don't smoke.
My father has been dead for three years.,It's been three years since my father died.
Tom was always different from other children.,Tom was always different from the other kids.
Did you sleep in here?,Did you sleep here?
My brother is not busy.,My brother isn't busy.
How much did Tom pay you?,How much money did Tom give you?
I never thought I'd ever get married.,I never thought I would get married.
"Mary is beautiful, isn't she?","Mary is cute, isn't she?"
Tatoeba doesn't have all the languages that I need.,Tatoeba does not have all the words that I require.
Tom began to sweat.,Tom began to perspire.
The first native speaker of Esperanto was born in 1904; today there are several thousand Esperanto native speakers.,The first native speaker of Esperanto was a girl who was born in 1904. The number of people who speak Esperanto today number in the thousands.
I don't believe this story.,I don't believe that story.
I grew up in Boston.,I was raised in Boston.
Who wants to bet on it?,Who wants to bet against?
Tom has the key.,Tom's got the key.
Tom doesn't like the way Mary laughs.,Tom doesn't like how Mary laughs.
We would have helped them.,We would've helped them.
Tom likes to go to the beach.,Tom loves going to the beach.
Tom brushed his horse.,Tom groomed his horse.
Tom took his daughter to school.,Tom dropped his daughter off at school.
I'll talk to Tom later about this.,I'll talk to Tom about that later.
Tom is really quick.,Tom is really fast.
All of Tom's friends laughed at me.,Tom's friends all laughed at me.
Your idea is not entirely crazy.,Your idea isn't entirely crazy.
Do you actually think that's true?,Do you really think that's true?
What in the world happened here?,What on earth happened here?
I knew that was Tom's handwriting.,I knew it was Tom's handwriting.
I'm happy that Tom is here.,I'm happy Tom is here.
I grew up in this neighborhood.,I grew up in that neighborhood.
I'm not sure why they do that.,I don't know why they're doing this.
Has your father arrived yet?,Is your father here yet?
"In Thailand, people use coconuts for food, drink and toys.","In Thailand, coconuts are used in the kitchen, as drinks or as toys."
Tom doesn't believe it.,Tom doesn't believe that.
This is love.,That's what love is.
I should've noticed it before.,I should have noticed it before.
"I think that as long as you worry about profit and loss, it can't be called love.","As long as you are thinking about the pros and cons of a relationship, I don't think you can call it love."
"Take a seat, Tom.","Sit down, Tom."
I don't know how to change a tire.,I've no idea how you change a tire.
Life is strange.,Life is weird.
He counts fast.,She is quick at figures.
Tom is at church right now.,Tom is at church now.
Did anybody else see it?,Has anybody else seen this?
It's an inside joke.,It's an in-joke.
"All of your accusations are baseless. She is innocent, and we will prove that.",All of your accusations are without foundation. She's innocent and we're going to prove it.
Let's make sure.,Let's be sure.
I was just going to leave home.,I was about to leave my house.
"I live in Boston in America right now, but I plan on going back to Japan later this year.","I now live in Boston in the US, but I plan to go back to Japan before the end of the year."
Book your flight early as it fills up quickly during Christmas.,Make your airplane reservations early since flights fill up quickly around Christmas.
"Since I have no children, I have more time to spend doing volunteer work than parents do.","Because I do not have children, I can spend more time volunteering than parents can."
"They say that in the United States anyone can become president, but perhaps that's not really true.","They say that in the US anyone can become President, but perhaps that is not completely true."
"From above, one could see the river.","From above, the river was visible."
I caught him by surprise.,I caught her by surprise.
I did surprise him.,I did surprise her.
The treaty was signed.,The treaty has been signed.
Tom signed the documents.,Tom signed the papers.
I am a carpenter.,I'm a carpenter.
I come from Europe.,I'm a European.
I'm European.,I am European.
They're amateurs.,They are amateurs.
She shouldn't get carried away.,Her demands are excessive.
She's demanding too much.,She's going too far in her demands.
I'm the one who should be apologizing.,I'm the one who ought to apologize.
How was the game?,How was the show?
I know that's not what you want.,I know this isn't what you wanted.
I can't pay you.,I can't pay him.
Tom won't stop.,Tom isn't going to stop.
I have posted a translation.,I have posted an interpretation.
My neck is a little sore.,My neck is a bit sore.
I enjoyed this book very much.,I really liked this book.
Do you want me to sing?,Would you like me to sing?
Go ahead and try it.,"Come on, give it a try."
Tom opened the beer.,Tom opened a beer.
Tom opened the book.,Tom opened his book.
Tom is in the clubhouse.,Tom is in a meeting.
You could've stayed in Boston.,You could have stayed in Boston.
"If one does not have a hobby, his life may be desolate.",When you don't have any hobbies life can be lonely.
"Each time I see this picture, I remember my father.","Every time I look at this picture, I think of my father."
Tom might know Mary's phone number.,Tom may know Mary's telephone number.
I'm a photographer.,I am a photographer.
Tom can come with you if he wants to.,Tom may go with you if he wants.
Can you honestly tell me you didn't know this was going to happen?,Can you honestly say you didn't know that was going to happen?
I don't know if it's possible.,I don't know if that's possible.
This is very valuable.,It's very valuable.
Why don't you know it?,Why would you not know?
I thought you wanted this.,I thought that was what you wanted.
Your pronunciation is excellent.,Your pronunciation is superb!
I know I did the right thing.,I know I'm doing the right thing.
Have you reached Tom yet?,Have you been able to contact Tom?
You've defeated her.,You beat her.
I'm sure you don't want to do that.,I'm sure that's not what you want to do.
How are you going to handle this?,How are you gonna deal with it?
